40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
08:14:00.0 (333337)|USER_INFO|[EXTERNAL]|0057F000000SZkg|test-d_masalsky@twistellar.com|Pacific Standard Time|GMT-07:00
08:14:00.0 (378947)|EXECUTION_STARTED
08:14:00.0 (383214)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F000008eSte|RSS
08:14:00.0 (10601801)|METHOD_ENTRY|[1]|01p7F000008eSte|RSS.RSS()
08:14:00.0 (10614742)|METHOD_EXIT|[1]|RSS
08:14:00.0 (10746810)|METHOD_ENTRY|[4]|01p7F000008eSte|RSS.getEntries()
08:14:00.0 (10843518)|METHOD_ENTRY|[30]|01p7F000008eSte|RSS.getRSSFeed(String)
08:14:00.0 (11212211)|CALLOUT_REQUEST|[96]|System.HttpRequest[Endpoint=https://news.tut.by/rss/economics.rss, Method=GET]
08:14:05.962 (5963035783)|CALLOUT_RESPONSE|[96]|System.HttpResponse[Status=OK, StatusCode=200]
08:14:05.962 (6044698071)|METHOD_EXIT|[30]|01p7F000008eSte|RSS.getRSSFeed(String)
08:14:05.962 (6045190342)|METHOD_ENTRY|[35]|01p7F000008eSte|RSS.convertFeedToBlogPost(dom.XmlNode)
08:14:05.962 (6049299630)|METHOD_ENTRY|[51]|01p7F000008eSte|RSS.getDate(String)
08:14:05.962 (6049498240)|METHOD_ENTRY|[65]|01p7F000008eSte|RSS.getMonthIndex(String)
08:14:05.962 (6049688519)|METHOD_EXIT|[65]|01p7F000008eSte|RSS.getMonthIndex(String)
08:14:05.962 (6049984706)|METHOD_EXIT|[51]|01p7F000008eSte|RSS.getDate(String)
08:14:05.962 (6050428969)|METHOD_EXIT|[35]|01p7F000008eSte|RSS.convertFeedToBlogPost(dom.XmlNode)
08:14:05.962 (6050700567)|METHOD_ENTRY|[35]|01p7F000008eSte|RSS.convertFeedToBlogPost(dom.XmlNode)
08:14:05.962 (6054248174)|METHOD_ENTRY|[51]|01p7F000008eSte|RSS.getDate(String)
08:14:05.962 (6054379487)|METHOD_ENTRY|[65]|01p7F000008eSte|RSS.getMonthIndex(String)
08:14:05.962 (6054491413)|METHOD_EXIT|[65]|01p7F000008eSte|RSS.getMonthIndex(String)
08:14:05.962 (6054714986)|METHOD_EXIT|[51]|01p7F000008eSte|RSS.getDate(String)
08:14:05.962 (6055115242)|METHOD_EXIT|[35]|01p7F000008eSte|RSS.convertFeedToBlogPost(dom.XmlNode)
08:14:05.962 (6055356238)|METHOD_ENTRY|[35]|01p7F000008eSte|RSS.convertFeedToBlogPost(dom.XmlNode)
08:14:05.962 (6057908954)|METHOD_ENTRY|[51]|01p7F000008eSte|RSS.getDate(String)
08:14:05.962 (6058037052)|METHOD_ENTRY|[65]|01p7F000008eSte|RSS.getMonthIndex(String)
