40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
04:53:06.0 (304763)|USER_INFO|[EXTERNAL]|0057F000000SZkg|test-d_masalsky@twistellar.com|Pacific Standard Time|GMT-07:00
04:53:06.0 (334789)|EXECUTION_STARTED
04:53:06.0 (337932)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000003H5tO|VF: /apex/ShowNews
04:53:06.0 (25069220)|SYSTEM_MODE_ENTER|true
04:53:06.0 (25378648)|HEAP_ALLOCATE|[72]|Bytes:3
04:53:06.0 (25416166)|HEAP_ALLOCATE|[77]|Bytes:152
04:53:06.0 (25429857)|HEAP_ALLOCATE|[342]|Bytes:408
04:53:06.0 (25441233)|HEAP_ALLOCATE|[355]|Bytes:408
04:53:06.0 (25452229)|HEAP_ALLOCATE|[467]|Bytes:48
04:53:06.0 (25475413)|HEAP_ALLOCATE|[139]|Bytes:6
04:53:06.0 (25489286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:100
04:53:06.0 (25493809)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
04:53:06.0 (25504244)|METHOD_ENTRY|[1]|01p7F000009Lmcm|JsonController.JsonController()
04:53:06.0 (25509713)|STATEMENT_EXECUTE|[1]
04:53:06.0 (25513689)|STATEMENT_EXECUTE|[1]
04:53:06.0 (25517609)|METHOD_EXIT|[1]|JsonController
04:53:06.0 (25533327)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
04:53:06.0 (25605737)|VARIABLE_SCOPE_BEGIN|[10]|this|JsonController|true|false
04:53:06.0 (25652172)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x5f41c282
04:53:06.0 (25660964)|STATEMENT_EXECUTE|[1]
04:53:06.0 (25662211)|STATEMENT_EXECUTE|[3]
04:53:06.0 (25667590)|HEAP_ALLOCATE|[3]|Bytes:4
04:53:06.0 (25753710)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:53:06.0 (25766366)|VARIABLE_ASSIGNMENT|[3]|this.resultEntries|[]|0x5f41c282
04:53:06.0 (25771694)|STATEMENT_EXECUTE|[4]
04:53:06.0 (25773161)|STATEMENT_EXECUTE|[6]
04:53:06.0 (25777364)|HEAP_ALLOCATE|[6]|Bytes:4
04:53:06.0 (25784510)|VARIABLE_ASSIGNMENT|[6]|this.counter|0|0x5f41c282
04:53:06.0 (25788502)|STATEMENT_EXECUTE|[7]
04:53:06.0 (25790228)|HEAP_ALLOCATE|[7]|Bytes:4
04:53:06.0 (25794840)|VARIABLE_ASSIGNMENT|[7]|this.limitSize|10|0x5f41c282
